word	jp_defs	pos	hanja	jp_trans
가	1.が 2.に 3.	「조사」		ある状態や状況に置かれた対象、または動作の主体を表す助詞。 対象が変わったり、否定したりすることを表す助詞。 直前の語を強調する意を表す助詞。
가-	かり【仮」	「접사」		「偽物の」または「臨時の」の意を付加する接頭辞。
-가		「접사」		「その姓を持つ人」の意を付加する接尾辞。 
-가	1.か【家】 2.か【家】 3.か【家】 4.か【家】	「접사」		「それを専門にする人」または「それを職業にする人」の意を付加する接尾辞。 「それに精通している人」の意を付加する接尾辞。 「それを多く持っている人」の意を付加する接尾辞。 「その特性のある人」の意を付加する接尾辞。 
-가	け【家】	「접사」		｢一族」の意を付加する接尾辞。 
-가	がい【街】。がいく【街区】。ちょうめ【丁目】	「접사」		「街」または「地域」の意を付加する接尾辞。 
-가	か【歌】	「접사」		「歌」の意を付加する接尾辞。 
-가	か【価】	「접사」		「値段」や「価格」の意を付加する接尾辞。
가가호호	いっけんいっけん【一軒一軒】	「부사」		家ごとに。
가공적	かくうてき【架空的】	「관형사」		事実でないことを嘘や想像でつくり出したさま。
가공하다	かきょうだ【可恐だ】	「형용사」		驚いたり、恐れるに値する。
가급적	なるべく	「부사」		できるだけ、可能な限り。
가까스로	1.ようやく。やっと。やっとのことで。どうにかこうにか。いろいろくしんしたあとで【いろいろ苦心したあとで】 2.ようやく。かろうじて【辛うじて】。やっと。やっとのことで。どうにかこうにか。からくも【辛くも】。ぎりぎりのところで	「부사」		とても厳しい環境の下で苦心・苦労して。 ある限度や数量にほとんど余裕がない状態で至るようなぎりぎりのところで。
가까이	1.ちかく【近く】 2.ちかく【近く】 3.したしく【親しく】	「부사」		距離が遠くなく。 ある基準にほぼ達するように。 互いに親しく。
가깝다	1.ちかい【近い】 2.ちかい【近い】 3.ちかい【近い】 4.ちかい【近い】 5.ちかい【近い】 6.ちかい【近い】	「형용사」		ある地点から遠く離れていない。 親しい間柄。 ある数値にほぼ達する。 ある物と物の性質や状態が類似している。 時間的に離れていない。 遠くない親戚。
가끔	たまに	「부사」		稀に1回ずつ。
가끔가다	ときどき【時々】。ときおり【時折】。ときたま【時たま】	「부사」		あまり頻繁でなくたまに。
